	ssbc lib	inc lib	number of common bc inc	total lib	number of common bc tot
0	ssbc_lib1	inc_lib1_rep1	19050	tot_lib1_rep1	33900
1	ssbc_lib2	inc_lib1_rep1	541	tot_lib1_rep1	809
2	ssbc_lib3	inc_lib1_rep1	1331	tot_lib1_rep1	1988
3	ssbc_lib4	inc_lib1_rep1	5302	tot_lib1_rep1	8419
4	ssbc_lib5	inc_lib1_rep1	391	tot_lib1_rep1	565
5	ssbc_lib6	inc_lib1_rep1	1550	tot_lib1_rep1	1459
6	ssbc_lib1	inc_lib1_rep2	17718	tot_lib1_rep2	30107
7	ssbc_lib2	inc_lib1_rep2	551	tot_lib1_rep2	766
8	ssbc_lib3	inc_lib1_rep2	1372	tot_lib1_rep2	1975
9	ssbc_lib4	inc_lib1_rep2	8920	tot_lib1_rep2	12768
10	ssbc_lib5	inc_lib1_rep2	383	tot_lib1_rep2	553
11	ssbc_lib6	inc_lib1_rep2	1153	tot_lib1_rep2	941
12	ssbc_lib1	inc_lib1_rep3	25682	tot_lib1_rep3	35952
13	ssbc_lib2	inc_lib1_rep3	670	tot_lib1_rep3	815
14	ssbc_lib3	inc_lib1_rep3	1855	tot_lib1_rep3	2217
15	ssbc_lib4	inc_lib1_rep3	17702	tot_lib1_rep3	19186
16	ssbc_lib5	inc_lib1_rep3	522	tot_lib1_rep3	628
17	ssbc_lib6	inc_lib1_rep3	3064	tot_lib1_rep3	1231
18	ssbc_lib1	inc_lib2_rep1	10360	tot_lib2_rep1	8149
19	ssbc_lib2	inc_lib2_rep1	388	tot_lib2_rep1	462
20	ssbc_lib3	inc_lib2_rep1	1798	tot_lib2_rep1	2049
21	ssbc_lib4	inc_lib2_rep1	66505	tot_lib2_rep1	80958
22	ssbc_lib5	inc_lib2_rep1	561	tot_lib2_rep1	608
23	ssbc_lib6	inc_lib2_rep1	4047	tot_lib2_rep1	855
24	ssbc_lib1	inc_lib2_rep2	4888	tot_lib2_rep2	5584
25	ssbc_lib2	inc_lib2_rep2	267	tot_lib2_rep2	375
26	ssbc_lib3	inc_lib2_rep2	1465	tot_lib2_rep2	1950
27	ssbc_lib4	inc_lib2_rep2	67369	tot_lib2_rep2	78916
28	ssbc_lib5	inc_lib2_rep2	455	tot_lib2_rep2	596
29	ssbc_lib6	inc_lib2_rep2	2981	tot_lib2_rep2	1450
30	ssbc_lib1	inc_lib2_rep3	2459	tot_lib2_rep3	2084
31	ssbc_lib2	inc_lib2_rep3	170	tot_lib2_rep3	162
32	ssbc_lib3	inc_lib2_rep3	1231	tot_lib2_rep3	1245
33	ssbc_lib4	inc_lib2_rep3	61988	tot_lib2_rep3	56132
34	ssbc_lib5	inc_lib2_rep3	424	tot_lib2_rep3	399
35	ssbc_lib6	inc_lib2_rep3	7750	tot_lib2_rep3	6583
36	ssbc_lib1	inc_lib3_rep1	1130	tot_lib3_rep1	1695
37	ssbc_lib2	inc_lib3_rep1	99	tot_lib3_rep1	133
38	ssbc_lib3	inc_lib3_rep1	452	tot_lib3_rep1	385
39	ssbc_lib4	inc_lib3_rep1	13148	tot_lib3_rep1	3819
40	ssbc_lib5	inc_lib3_rep1	191	tot_lib3_rep1	180
41	ssbc_lib6	inc_lib3_rep1	24979	tot_lib3_rep1	30933
42	ssbc_lib1	inc_lib3_rep2	1366	tot_lib3_rep2	987
43	ssbc_lib2	inc_lib3_rep2	108	tot_lib3_rep2	81
44	ssbc_lib3	inc_lib3_rep2	393	tot_lib3_rep2	275
45	ssbc_lib4	inc_lib3_rep2	7501	tot_lib3_rep2	3034
46	ssbc_lib5	inc_lib3_rep2	202	tot_lib3_rep2	156
47	ssbc_lib6	inc_lib3_rep2	33698	tot_lib3_rep2	35756
48	ssbc_lib1	inc_lib3_rep3	1368	tot_lib3_rep3	1482
49	ssbc_lib2	inc_lib3_rep3	110	tot_lib3_rep3	123
50	ssbc_lib3	inc_lib3_rep3	320	tot_lib3_rep3	354
51	ssbc_lib4	inc_lib3_rep3	4509	tot_lib3_rep3	2904
52	ssbc_lib5	inc_lib3_rep3	184	tot_lib3_rep3	194
53	ssbc_lib6	inc_lib3_rep3	31896	tot_lib3_rep3	35259
